OrderID,OrderDate,CustomerName,Region,ProductCategory,ProductName,Quantity,UnitPrice,Discount,SalesRep,,,,
ORD-001,11/23/2026,Pied Piper,South,Furniture,Ergonomic Chair,18,70.85,0.15,Jordan Lee,,,,
ORD-002,01/16/2026,TechNova,N,Electronics,Bluetooth Speaker,14,84.94,0.1,Jordan Lee,,,,
ORD-003,03/22/2026,Stark Ind,South,Electronics,USB-C Hub,13,42.87,0.1,Maria Chen,,,,
ORD-004,01/15/2026,Bluth Company,N,Electronics,Bluetooth Speaker,10,291.99,0.1,Maria Chen,,,,
ORD-005,08/04/2026,,East,Electronics,USB-C Hub,13,104.5,0.1,Priya Sharma,,,,
ORD-006,07/08/2026,Initech,S,Electronics,Power Bank,13,101.77,0.05,Alex Kim,,,,
ORD-007,01/29/2026,Oceanic Airlines,West,Electronics,Keyboard,19,307.95,0.1,Priya Sharma,,,,
ORD-008,12/01/2026,Massive Dynamic,South,Electronics,Keyboard,18,193.24,0.15,Maria Chen,,,,
ORD-009,07/23/2026,Stark Ind,West,Electronics,USB-C Hub,5,223.32,0.15,Maria Chen,,,,
ORD-010,02/02/2026,Massive Dynamic,East,Furniture,Ergonomic Chair,18,382.9,0.1,Jordan Lee,,,,
ORD-011,05/30/2026,Dunder Mifflin,South,Furniture,Bookshelf,17,316.21,0,Alex Kim,,,,
ORD-012,03/23/2026,Sterling Cooper,N,Office Supplies,Highlighter Set,1,13.61,0.1,Alex Kim,,,,
ORD-013,05/02/2026,Initech,N,Electronics,Bluetooth Speaker,5,53.64,0.2,Maria Chen,,,,
ORD-014,03/25/2026,Soylent Corp,South,Furniture,Bookshelf,13,497.71,0.1,Sam Okafor,,,,
ORD-015,09/21/2026,Initech,East,Furniture,Drawer Unit,8,306.56,0,Jordan Lee,,,,
ORD-016,12/28/2026,Globex Inc,East,Furniture,Filing Cabinet,9,344.41,0.05,Maria Chen,,,,
ORD-017,08/03/2026,Vandelay Industries,West,Office Supplies,Paper Ream,7,12.1,0.15,Alex Kim,,,,
ORD-018,08/04/2026,Globex Inc,North,Office Supplies,Desk Organizer,4,25.37,0.05,Maria Chen,,,,
ORD-019,08/17/2026,Massive Dynamic,South,Office Supplies,Tape Dispenser,4,8.34,0,Jordan Lee,,,,
ORD-020,05/01/2026,Hooli,West,Electronics,HDMI Cable,1,345,0.1,Sam Okafor,,,,
ORD-021,05/26/2026,Bluth Company,West,Electronics,Webcam HD,7,339.35,0,Alex Kim,,,,
ORD-022,01/30/2026,Sterling Cooper,South,Furniture,Ergonomic Chair,6,62.2,0,Priya Sharma,,,,
ORD-023,07/25/2026,Pied Piper,N,Electronics,HDMI Cable,19,202.17,0.1,Alex Kim,,,,
ORD-024,04/14/2026,Dunder Mifflin,West,Furniture,Bookshelf,15,178.59,0,Jordan Lee,,,,
ORD-025,08/22/2026,Umbrella LLC,N,Electronics,Bluetooth Speaker,9,55.03,0.1,Jordan Lee,,,,
ORD-026,05/05/2026,Bluth Company,East,Furniture,Drawer Unit,10,467.92,0,Priya Sharma,,,,
ORD-027,05/15/2026,Bluth Company,South,Office Supplies,Scissors,7,65.7,0.05,Alex Kim,,,,
ORD-028,09/15/2026,Globex Inc,N,Office Supplies,Notebook Pack,1,32.68,0,Alex Kim,,,,
ORD-029, 03/23/2026,Soylent Corp,North,Electronics,"Monitor 27""",18,22.24,0.1,Maria Chen,,,,
ORD-030,10/09/2026,Wonka Industries,East,Office Supplies,Sticky Notes,8,61.35,0.1,Maria Chen,,,,
ORD-031,07/27/2026,Pied Piper,South,Office Supplies,Notebook Pack,6,67.33,0.1,Sam Okafor,,,,
ORD-032,12/08/2026,Dunder Mifflin,South,Office Supplies,Notebook Pack,16,23.12,0.2,Alex Kim,,,,
ORD-033,05/06/2026,Pied Piper,North,Office Supplies,Desk Organizer,9,78.32,0.1,Alex Kim,,,,
ORD-034,11/24/2026,Bluth Company,East,Electronics,Webcam HD,6,207.39,0.1,Jordan Lee,,,,
ORD-035,02/25/2026,Oceanic Airlines,W,Furniture,Ergonomic Chair,13,452.76,0.05,Alex Kim,,,,
ORD-036,01/23/2026,,South,Office Supplies,Pen Set,11,57.58,0,Alex Kim,,,,
ORD-037,09/16/2026,Cyberdyne Systems,East,Electronics,HDMI Cable,13,240.28,0,Maria Chen,,,,
ORD-038,10/18/2026,Acme Corp,East,Electronics,HDMI Cable,19,216.25,0.1,Sam Okafor,,,,
ORD-039,08/14/2026,Prestige Worldwide,South,Office Supplies,Tape Dispenser,20,32.82,0.05,Alex Kim,,,,
ORD-040,04/25/2026,Globex Inc,S,Furniture,Ergonomic Chair,15,224.78,0.05,Sam Okafor,,,,
ORD-041,09/10/2026,Acme Corp,N,Electronics,"Monitor 27""",17,167.94,0.05,Jordan Lee,,,,
ORD-042,08/21/2026,Sterling Cooper,E,Furniture,Drawer Unit,14,420.36,0.2,Priya Sharma,,,,
ORD-043,08/31/2026,Dunder Mifflin,West,Office Supplies,Highlighter Set,3,65.35,0.05,Alex Kim,,,,
ORD-044,06/20/2026,Stark Ind,South,Office Supplies,Whiteboard,7,9.51,0.15,Alex Kim,,,,
ORD-045,10/04/2026,Soylent Corp,W,Furniture,Standing Desk,19,208.77,0,Alex Kim,,,,
ORD-046,01/06/2026,Soylent Corp,S,Electronics,Webcam HD,14,175.11,0.15,Alex Kim,,,,
ORD-047,12/08/2026,Wayne Enterprises,West,Furniture,Drawer Unit,1,456.25,0,Jordan Lee,,,,
ORD-048,11/25/2026,Wayne Enterprises,North,Office Supplies,Desk Organizer,7,43.09,0.1,Sam Okafor,,,,
ORD-049,05/22/2026,Dunder Mifflin,N,Electronics,Bluetooth Speaker,2,349.96,0.1,Priya Sharma,,,,
ORD-050,11/28/2026,Globex Inc,North,Electronics,Wireless Mouse,20,61.8,0,Sam Okafor,,,,
ORD-051,12/08/2026,Massive Dynamic,East,Electronics,USB Drive 64GB,20,337.66,0,Priya Sharma,,,,
ORD-052,06/08/2026,,E,Office Supplies,Sticky Notes,3,54.91,0.05,Jordan Lee,,,,
ORD-053,12/22/2026,TechNova,N,Electronics,Laptop Stand,18,155.64,0.1,Jordan Lee,,,,
ORD-054,09/16/2026,,W,Electronics,HDMI Cable,12,226.09,0.2,Priya Sharma,,,,
ORD-055,08/10/2026,Dunder Mifflin,W,Office Supplies,Scissors,9,31.71,0.05,Jordan Lee,,,,
ORD-056,05/22/2026,Massive Dynamic,West,Electronics,Power Bank,11,71.82,0.05,Alex Kim,,,,
ORD-057,05/12/2026,Dunder Mifflin,N,Electronics,USB-C Hub,8,254.82,0.2,Maria Chen,,,,
ORD-058,05/03/2026,Prestige Worldwide,West,Electronics,Webcam HD,8,147.49,0.05,Alex Kim,,,,
ORD-059,12/05/2026,Sterling Cooper,E,Furniture,Drawer Unit,11,195.34,0.2,Alex Kim,,,,
ORD-060,06/05/2026,Hooli,East,Furniture,Drawer Unit,6,120.01,0.2,Alex Kim,,,,
ORD-061,10/28/2026,Wonka Industries,North,Office Supplies,Sticky Notes,12,19.42,0,Maria Chen,,,,
ORD-062,03/05/2026,Bluth Company,East,Furniture,Cable Tray,4,440.17,0.1,Sam Okafor,,,,
ORD-063,09/02/2026,Globex Inc,E,Electronics,USB-C Hub,13,177.18,0,Priya Sharma,,,,
ORD-064,03/17/2026,Initech,South,Furniture,Footrest,20,310.17,0.05,Maria Chen,,,,
ORD-065,07/13/2026,Vandelay Industries,West,Furniture,Coat Rack,2,316.52,0,Priya Sharma,,,,
ORD-066,11/16/2026,Wayne Enterprises,South,Furniture,Ergonomic Chair,6,31.25,0.2,Maria Chen,,,,
ORD-067,08/28/2026,Wonka Industries,West,Furniture,Filing Cabinet,9,400.27,0.05,Sam Okafor,,,,
ORD-068,02/28/2026,Dunder Mifflin,South,Electronics,"Monitor 27""",10,212.3,0.1,Sam Okafor,,,,
ORD-069,03/04/2026,Cyberdyne Systems,E,Office Supplies,Pen Set,20,7.42,0.15,Alex Kim,,,,
ORD-070,11/05/2026,Vandelay Industries,North,Furniture,Standing Desk,6,251.13,0.2,Alex Kim,,,,
ORD-071,04/02/2026,Prestige Worldwide,N,Office Supplies,Paper Ream,11,31.6,0,Priya Sharma,,,,
ORD-072,06/17/2026,Cyberdyne Systems,N,Electronics,Laptop Stand,9,119.9,0.15,Maria Chen,,,,
ORD-073,01/01/2026,Soylent Corp,North,Furniture,Desk Lamp,20,385.52,0.2,Jordan Lee,,,,
ORD-074,04/14/2026,Wonka Industries,W,Electronics,Wireless Mouse,20,281.76,0,Alex Kim,,,,
ORD-075,10/09/2026,Pied Piper,N,Electronics,"Monitor 27""",16,327.09,0.1,Maria Chen,,,,
ORD-076,12/27/2026,Prestige Worldwide,S,Furniture,Monitor Arm,13,119.58,0,Jordan Lee,,,,
ORD-077,05/21/2026,Oceanic Airlines,East,Office Supplies,Binder Clips,19,53.86,0.2,Priya Sharma,,,,
ORD-078,08/16/2026,Bluth Company,W,Office Supplies,Sticky Notes,8,53.16,0.05,Sam Okafor,,,,
ORD-079,01/23/2026,Cyberdyne Systems,West,Office Supplies,Notebook Pack,5,47.19,0.1,Jordan Lee,,,,
ORD-080,08/13/2026,Acme Corp,S,Furniture,Monitor Arm,3,250.65,0.1,Alex Kim,,,,
ORD-081,11/15/2026,Oceanic Airlines,West,Furniture,Cable Tray,18,46.86,0,Priya Sharma,,,,
ORD-082,11/19/2026,Pied Piper,N,Electronics,USB-C Hub,15,66.55,0.1,Jordan Lee,,,,
ORD-083,01/24/2026,Tyrell Corp,E,Electronics,Keyboard,17,150.09,0,Priya Sharma,,,,
ORD-084,03/30/2026,TechNova,S,Furniture,Monitor Arm,8,246.73,0.1,Sam Okafor,,,,
ORD-085,05/10/2026,Massive Dynamic,East,Electronics,Power Bank,12,345.79,0.1,Sam Okafor,,,,
ORD-086,12/19/2026,Hooli,W,Electronics,Keyboard,13,204.44,0.1,Alex Kim,,,,
ORD-087,01/12/2026,Dunder Mifflin,N,Furniture,Standing Desk,20,380.22,0.1,Priya Sharma,,,,
ORD-088,06/11/2026,Hooli,East,Furniture,Ergonomic Chair,2,175.19,0.2,Jordan Lee,,,,
ORD-089,10/23/2026,Wonka Industries,E,Electronics,Keyboard,5,277.4,0.1,Maria Chen,,,,
ORD-090,09/13/2026,Dunder Mifflin,West,Furniture,Desk Lamp,4,250.11,0,Priya Sharma,,,,
ORD-091,04/25/2026,Cyberdyne Systems,East,Office Supplies,Notebook Pack,9,50.14,0.2,Alex Kim,,,,
ORD-092,10/12/2026,Cyberdyne Systems,East,Furniture,Filing Cabinet,16,41.75,0.1,Maria Chen,,,,
ORD-093,04/23/2026,Massive Dynamic,E,Electronics,"Monitor 27""",2,331.72,0.1,Sam Okafor,,,,
ORD-094,03/01/2026,Stark Ind,W,Office Supplies,Tape Dispenser,14,54.5,0,Sam Okafor,,,,
ORD-095,12/01/2026,Soylent Corp,East,Furniture,Desk Lamp,7,238.38,0.05,Alex Kim,,,,
ORD-096,02/20/2026,Tyrell Corp,N,Office Supplies,Sticky Notes,4,85.6,0.2,Jordan Lee,,,,
ORD-097,12/05/2026,Acme Corp,North,Electronics,"Monitor 27""",19,79.76,0.05,Maria Chen,,,,
ORD-098,04/20/2026,Stark Ind,North,Electronics,"Monitor 27""",18,95.21,0,Jordan Lee,,,,
ORD-099,12/04/2026,Tyrell Corp,South,Electronics,"Monitor 27""",9,27.81,0.15,Maria Chen,,,,
ORD-100,02/28/2026,Tyrell Corp,N,Furniture,Filing Cabinet,20,50.37,0.1,Sam Okafor,,,,
ORD-101,11/25/2026,Prestige Worldwide,W,Furniture,Ergonomic Chair,16,364.82,0.2,Jordan Lee,,,,
ORD-102,02/11/2026,Stark Ind,East,Office Supplies,Scissors,17,29.35,0.15,Jordan Lee,,,,
ORD-103,12/25/2026,Bluth Company,S,Office Supplies,Sticky Notes,14,33.14,0.2,Sam Okafor,,,,
ORD-104,01/31/2026,Oceanic Airlines,East,Electronics,Power Bank,3,41.01,0,Jordan Lee,,,,
ORD-105,08/09/2026,Stark Ind,N,Furniture,Drawer Unit,11,344.9,0.15,Alex Kim,,,,
ORD-106,12/06/2026,Globex Inc,East,Office Supplies,Pen Set,19,47.63,0,Sam Okafor,,,,
ORD-107,04/24/2026,Bluth Company,East,Office Supplies,Scissors,8,73.41,0,Maria Chen,,,,
ORD-108,02/12/2026,Wayne Enterprises,East,Office Supplies,Desk Organizer,1,19.59,0,Maria Chen,,,,
ORD-109,12/02/2026,Acme Corp,N,Electronics,HDMI Cable,14,164.23,0,Alex Kim,,,,
ORD-110,08/06/2026,Vandelay Industries,North,Electronics,"Monitor 27""",20,26.91,0,Alex Kim,,,,
ORD-111,08/14/2026,Massive Dynamic,West,Electronics,Bluetooth Speaker,4,127.35,0,Alex Kim,,,,
ORD-112,12/13/2026,Wonka Industries,North,Office Supplies,Scissors,2,4.65,0.1,Priya Sharma,,,,
ORD-113,11/03/2026,Umbrella LLC,N,Furniture,Footrest,6,90.71,0.05,Maria Chen,,,,
ORD-114,10/13/2026,Initech,West,Office Supplies,Notebook Pack,15,83.21,0.1,Maria Chen,,,,
ORD-115,08/07/2026,Soylent Corp,East,Office Supplies,Notebook Pack,11,18.77,0.2,Alex Kim,,,,
ORD-116,02/15/2026,Soylent Corp,W,Electronics,HDMI Cable,10,263.56,0.05,Alex Kim,,,,
ORD-117,03/27/2026,Sterling Cooper,South,Office Supplies,Whiteboard,8,12.83,0.1,Priya Sharma,,,,
ORD-118,03/29/2026,Initech,S,Office Supplies,Scissors,19,42.6,0.1,Alex Kim,,,,
ORD-119,03/18/2026,Wonka Industries,East,Office Supplies,Tape Dispenser,3,30.69,0.2,Jordan Lee,,,,
ORD-120,01/30/2026,Initech,W,Furniture,Drawer Unit,2,241.36,0.05,Alex Kim,,,,
ORD-121,11/05/2026,Globex Inc,West,Office Supplies,Pen Set,17,59.56,0,Priya Sharma,,,,
ORD-122,12/28/2026,Sterling Cooper,South,Office Supplies,Binder Clips,13,39.14,0.1,Maria Chen,,,,
ORD-123,01/27/2026,Initech,East,Furniture,Footrest,10,148.43,0,Alex Kim,,,,
ORD-124,02/11/2026,Tyrell Corp,E,Electronics,USB Drive 64GB,3,115.25,0.15,Alex Kim,,,,
ORD-125,03/06/2026,Sterling Cooper,N,Furniture,Desk Lamp,1,200.41,0,Priya Sharma,,,,
ORD-126,06/23/2026,Pied Piper,South,Electronics,Webcam HD,4,182.6,0,Alex Kim,,,,
ORD-127,11/12/2026,Wayne Enterprises,South,Furniture,Cable Tray,2,223.09,0.05,Sam Okafor,,,,
ORD-128,11/08/2026,Massive Dynamic,South,Office Supplies,Highlighter Set,7,35.62,0.2,Sam Okafor,,,,
ORD-129,05/24/2026,Soylent Corp,South,Furniture,Monitor Arm,9,54.51,0.2,Alex Kim,,,,
ORD-130,10/10/2026,Sterling Cooper,North,Electronics,"Monitor 27""",9,162.76,0,Sam Okafor,,,,
ORD-131,02/16/2026,Massive Dynamic,East,Office Supplies,Notebook Pack,13,47.16,0.05,Sam Okafor,,,,
ORD-132,02/11/2026,,North,Electronics,"Monitor 27""",2,107.53,0.2,Priya Sharma,,,,
ORD-133,12/27/2026,Initech,North,Electronics,"Monitor 27""",18,329.67,0.15,Jordan Lee,,,,
ORD-134,05/27/2026,Pied Piper,W,Office Supplies,Pen Set,4,75.95,0.2,Maria Chen,,,,
ORD-135,10/01/2026,Pied Piper,South,Office Supplies,Notebook Pack,20,34.33,0.15,Priya Sharma,,,,
ORD-136,12/06/2026,Tyrell Corp,N,Furniture,Drawer Unit,17,290.44,0.15,Sam Okafor,,,,
ORD-137,01/23/2026,Dunder Mifflin,North,Electronics,Laptop Stand,8,259.19,0,Maria Chen,,,,
ORD-138,06/19/2026,Oceanic Airlines,S,Furniture,Cable Tray,6,411.39,0,Sam Okafor,,,,
ORD-139,01/19/2026,Hooli,North,Office Supplies,Tape Dispenser,13,89.05,0.2,Alex Kim,,,,
ORD-140,02/19/2026,Tyrell Corp,North,Office Supplies,Pen Set,12,41.57,0.15,Sam Okafor,,,,
ORD-141,07/16/2026,Prestige Worldwide,East,Electronics,HDMI Cable,3,156.4,0,Maria Chen,,,,
ORD-142,05/30/2026,Wonka Industries,E,Furniture,Footrest,6,354.18,0.1,Sam Okafor,,,,
ORD-143,01/22/2026,TechNova,West,Furniture,Standing Desk,3,345.45,0.15,Alex Kim,,,,
ORD-144,09/19/2026,Acme Corp,S,Electronics,"Monitor 27""",3,90.23,0.1,Alex Kim,,,,
ORD-145,07/15/2026,Stark Ind,West,Office Supplies,Highlighter Set,3,53.35,0.1,Sam Okafor,,,,
ORD-146,06/09/2026,Umbrella LLC,North,Office Supplies,Tape Dispenser,13,82.55,0,Alex Kim,,,,
ORD-147,05/13/2026,TechNova,E,Electronics,USB-C Hub,5,299.95,0.2,Priya Sharma,,,,
ORD-148,12/31/2026,Oceanic Airlines,East,Furniture,Drawer Unit,10,448.92,0,Priya Sharma,,,,
ORD-149,07/04/2026,Hooli,South,Office Supplies,Notebook Pack,12,51.64,0.1,Sam Okafor,,,,
ORD-150,10/09/2026,Initech,E,Furniture,Cable Tray,17,223.06,0.15,Maria Chen,,,,
ORD-151,02/07/2026,Initech,W,Furniture,Drawer Unit,12,90.31,0,Priya Sharma,,,,
ORD-152,08/09/2026,Umbrella LLC,South,Electronics,"Monitor 27""",11,327.8,0.05,Alex Kim,,,,
ORD-153,09/22/2026,Dunder Mifflin,South,Electronics,Webcam HD,20,191.37,0,Maria Chen,,,,
ORD-154,10/24/2026,TechNova,East,Electronics,USB-C Hub,2,332.5,0.1,Priya Sharma,,,,
ORD-155,10/19/2026,Prestige Worldwide,East,Office Supplies,Sticky Notes,13,29.57,0,Jordan Lee,,,,
ORD-156,03/21/2026,Hooli,East,Office Supplies,Desk Organizer,12,87.87,0,Alex Kim,,,,
ORD-157,09/20/2026,Massive Dynamic,North,Office Supplies,Sticky Notes,5,12.32,0.1,Sam Okafor,,,,
ORD-158,11/11/2026,Wayne Enterprises,East,Electronics,"Monitor 27""",16,348.62,0.2,Sam Okafor,,,,
ORD-159,06/06/2026,Cyberdyne Systems,West,Electronics,USB Drive 64GB,12,26.53,0.1,Sam Okafor,,,,
ORD-160,11/01/2026,Prestige Worldwide,East,Electronics,HDMI Cable,5,310.02,0.1,Sam Okafor,,,,
ORD-161,07/06/2026,Bluth Company,South,Furniture,Bookshelf,3,211.57,0.2,Maria Chen,,,,
ORD-162,05/23/2026,TechNova,North,Electronics,HDMI Cable,12,280.26,0.1,Maria Chen,,,,
ORD-163,06/07/2026,Sterling Cooper,W,Electronics,Wireless Mouse,2,56.58,0.1,Sam Okafor,,,,
ORD-164,09/22/2026,Sterling Cooper,South,Furniture,Desk Lamp,6,214.68,0.1,Maria Chen,,,,
ORD-165,06/21/2026,Prestige Worldwide,E,Electronics,Laptop Stand,11,239.08,0.15,Maria Chen,,,,
ORD-166,06/06/2026,Acme Corp,West,Furniture,Coat Rack,19,136.94,0,Maria Chen,,,,
